比較対象A_ID	比較対象B_ID	比較対象A_表層形	比較対象B_表層形	A-B	B-A
5805	5806	折り込み	ねじ込み	0	0
5816	5817	織り込み	練り込み	0	0
5852	5853	漏水	水漏れ	0	0
5862	5863	吸収	吸い取り	0	0
5912	5913	囲み	囲い	0	0
6013	6014	乗り降り	降り乗り	0	0
6058	6059	野積み	山積み	0	0
6072	6073	撃沈	爆沈	0	0
6088	6089	穴埋め	埋め立て	0	0
6109	6110	合併	併合	0	0
6143	6144	混合	混成	0	0
6147	6148	混ぜ合わせ	攪拌	0	0
6161	6162	出会い	遭遇	0	0
6207	6208	編集	類従	0	0
6219	6220	統一	統括	0	0
6283	6284	分割	黄金分割	0	0
6327	6328	拡散	放散	0	0
6344	6345	開放	全開	0	0
6369	6370	閉め切り	閉鎖	0	0
6372	6373	ふさがり	詰まり	0	0
6381	6382	完封	密封	0	0
6387	6388	開封	開札	0	0
6403	6404	引き	引き付け	0	0
6470	6471	結び付き	結び付け	0	0
6531	6532	命中	必中	0	0
6556	6557	乱撃	一撃	0	0
6581	6582	押し	プッシュ	0	0
6594	6595	圧迫	強圧	0	0
6700	6701	遮蔽	壁	0	0
6724	6725	難関	デッドロック	0	0
6736	6737	回避	待避	0	0
6760	6761	変形	変型	0	0
6771	6772	起伏	凹凸	0	0
6800	6801	型押し	空押し	0	0
6842	6843	まくれ	めくれ	0	0
6847	6848	締め	締まり	0	0
6913	6914	断裁	裁断	0	0
6921	6922	切り返し	切り払い	0	0
6925	6926	斬殺	試しぎり	0	0
6953	6954	破損	損壊	0	0
6971	6972	砕鉱	砕石	0	0
6976	6977	破裂	パンク	0	0
7036	7037	積層	成層	0	0
7045	7046	増し	増	0	0
7054	7055	追加	付加・附加	0	0
7058	7059	上乗せ	かさ上げ	0	0
7066	7067	添え	付け	0	0
7074	7075	倍加	倍増	0	0
7078	7079	累増	逓増	0	0
7118	7119	加熱	加湿	0	0
7129	7130	減少	目減り	0	0
7157	7158	減産	減反	0	0
7166	7167	減俸	減給	0	0
7186	7187	積み重ね	累積	0	0
7192	7193	山積み	山積	0	0
7373	7374	盛者必衰	盛者必衰	0	0
7397	7398	指折り	屈指	0	0
7477	7478	年月	年月	0	0
7480	7481	月日	日月	0	0
7484	7485	星霜	春秋	0	0
7488	7489	日足・日脚	日足	0	0
7541	7542	一時	一刻	0	0
7556	7557	須臾	つかの間	0	0
7599	7600	上映時間	演奏時間	0	0
7626	7627	糸口	タイミング	0	0
7669	7670	切迫	急迫	0	0
7683	7684	期日	日取り	0	0
7733	7734	みぎり	程	0	0
7770	7771	途端	折から	0	0
7797	7798	通り掛け	通り掛かり	0	0
7821	7822	度	度	0	0
7826	7827	毎度	毎毎	0	0
7857	7858	毎時	毎分	0	0
7869	7870	毎年	毎年	0	0
7882	7883	隔日	隔年	0	0
7894	7895	仮	随時	0	0
7901	7902	期	期	0	0
7944	7945	年季	全季	0	0
7948	7949	任期	会期	0	0
7956	7957	旬	時期	0	0
7982	7983	婚期	結婚適齢期	0	0
7985	7986	渇水期	氷河期	0	0
8005	8006	過渡期	シーズン	0	0
8069	8070	年輩・年配	年輩	0	0
8100	8101	明治生まれ	大正生まれ	0	0
8105	8106	厄年	大厄	0	0
8114	8115	還暦	本卦返り	0	0
8191	8192	前時代	現世	0	0
8277	8278	飛鳥時代	大和時代	0	0
8284	8285	室町時代	南北朝時代	0	0
8337	8338	時節	季節	0	0
8342	8343	折節	折折	0	0
8365	8366	早春	初春	0	0
8389	8390	秋	秋季	0	0
8393	8394	新秋	初秋	0	0
8431	8432	立春	立夏	0	0
8472	8473	元年	初年	0	0
8487	8488	ひつじどし	さるどし	0	0
8496	8497	新年	改暦	0	0
8527	8528	臨月	産み月	0	0
8548	8549	週末	ウイークエンド	0	0
8559	8560	金曜日	土曜日	0	0
8568	8569	水曜	水	0	0
8586	8587	一日中	半日	0	0
8631	8632	佳日	佳辰	0	0
8634	8635	厄日	悪日	0	0
8703	8704	記念日	祝日	0	0
8720	8721	人日	松の内	0	0
8741	8742	メーデー	憲法記念日	0	0
8744	8745	端午	こどもの日	0	0
8749	8750	盆	うら盆	0	0
8762	8763	天皇誕生日	クリスマス	0	0
8765	8766	暮れ	年末	0	0
8781	8782	立春	立夏	0	0
8792	8793	寒	寒の入り	0	0
8848	8849	彼誰時	黎明	0	0
8866	8867	真っ昼間	昼中	0	0
8895	8896	夕間	夕間暮	0	0
8900	8901	晩方	晩	0	0
8929	8930	やみ夜	暗夜	0	0
8933	8934	雨夜	霜夜	0	0
8945	8946	初更	三更	0	0
9022	9023	今月	本月	0	0
9059	9060	来し方	来し方	0	0
9077	9078	今し方	先刻	0	0
9086	9087	先だって	先日	0	0
9090	9091	先ごろ	先般	0	0
9107	9108	こぞ	おととし	0	0
9122	9123	おととい	一昨日	0	0
9153	9154	将来	未来	0	0
9157	9158	向後	これから	0	0
9165	9166	先き行き	行く末	0	0
9206	9207	来月	再来月	0	0
9223	9224	今度	次回	0	0
9283	9284	真っ先	真先	0	0
9372	9373	はじめ	初め	0	0
9390	9391	最後	最終	0	0
9406	9407	糸口	緒	0	0
9443	9444	出はな・出ばな・出っぱな	出はな	0	0
9455	9456	渡り初め	聞き始め	0	0
9464	9465	最後尾	末葉	0	0
9475	9476	終幕	幕引き	0	0
9479	9480	大詰め	大切り	0	0
9482	9483	千秋楽	掉尾	0	0
9498	9499	果て	果てし	0	0
9503	9504	成れの果て	極	0	0
9506	9507	挙げ句・揚げ句	挙げ句	0	0
9576	9577	夢中	病中	0	0
9580	9581	存命中	目の黒いうち	0	0
9583	9584	山	絶頂	0	0
9590	9591	下り坂	落ち目	0	0
9609	9610	間	合間	0	0
9700	9701	後	後	0	0
9733	9734	婚前	産前	0	0
9772	9773	明くる日	翌日	0	0
9793	9794	即時	即刻	0	0
9805	9806	言下	一下	0	0
9810	9811	#NAME?	出来たて	0	0
9854	9855	局面	大局	0	0
9878	9879	立地	ベース	0	0
9894	9895	危地	虎口	0	0
9916	9917	地位	位	0	0
9950	9951	次元	一次元	0	0
9977	9978	この辺	こっち	0	0
9998	9999	どこ	どこら	0	0
10009	10010	どこそこ	どこどこ	0	0
10012	10013	ある所	某所	0	0
10019	10020	ここかしこ	そこかしこ	0	0
10025	10026	あちらこちら	所所方方	0	0
10029	10030	方方	緒方	0	0
10034	10035	よも	四方	0	0
10075	10076	拠点	本拠	0	0
10093	10094	現地	その場	0	0
10100	10101	被害地	罹災地	0	0
10137	10138	先	あて先	0	0
10155	10156	下宿先	嫁ぎ先	0	0
10191	10192	乗り場	停留所	0	0
10254	10255	原点	基点	0	0
10266	10267	通過点	折り返し点	0	0
10282	10283	露点	氷点	0	0
10323	10324	根元	根方	0	0
10392	10393	辺	斜辺	0	0
10414	10415	海岸線	汀線	0	0
10446	10447	曲折	ジグザグ	0	0
10467	10468	交通網	道路網	0	0
10511	10512	ゾーン	ラッキーゾーン	0	0
10555	10556	分野	領分	0	0
10570	10571	基盤	地盤	0	0
10597	10598	客席	貴賓席	0	0
10603	10604	桟敷	アリーナ	0	0
10673	10674	足跡	足跡	0	0
10680	10681	手跡	筆跡	0	0
10697	10698	城址	城跡	0	0
10736	10737	限界	限度	0	0
10745	10746	間	間	0	0
10761	10762	両方	両方向	0	0
10830	10831	筋向かい	筋向こう	0	0
10843	10844	対峙	差し向かい	0	0
10867	10868	#NAME?	#NAME?	0	0
10873	10874	山手	山の手	0	0
10889	10890	六方	八方	0	0
10918	10919	北東	東北	0	0
10960	10961	左側	左側	0	0
10986	10987	腹背	背	0	0
11020	11021	面前	目の前	0	0
11032	11033	縦横	縦横	0	0
11039	11040	座右	横合い	0	0
11053	11054	はす	はすかい	0	0
11076	11077	左上	左下	2638	798
11114	11115	水上	氷上	0	0
11137	11138	そで山	そで下	0	0
11156	11157	頭上	眼下	33	35
11278	11279	先	末	124836	49875
11289	11290	船端	軒端	0	0
11295	11296	端っこ	端っこ	0	0
11312	11313	矛先	鋭鋒	0	0
11317	11318	四面	全面	0	0
11361	11362	川面	川面	0	0
11386	11387	上辺	上っ面	0	0
11392	11393	側	両側	0	0
11453	11454	外の面	おんも	0	0
11532	11533	市外	洛外	0	0
11641	11642	生え際	端近	0	0
11648	11649	川端	川べり	0	0
11674	11675	湖畔	池畔	0	0
11731	11732	環境	自然環境	0	0
11743	11744	このあたり	この辺	0	0
11748	11749	一帯	一円	0	0
11751	11752	#NAME?	川沿い	0	0
11793	11794	なり	格好	0	0
11806	11807	定形	自由形	0	0
11873	11874	まる	丸	0	0
11877	11878	真ん丸	楕円	0	0
11883	11884	多角形	多角形	0	0
11921	11922	大形・大型	大形	0	0
11989	11990	影	孤影	0	0
12001	12002	容姿	姿容	0	0
12020	12021	雄姿	勇姿	0	0
12028	12029	姿態	百態	0	0
12056	12057	立て付け・建て付け	立て付け	0	0
12135	12136	米粒	御飯粒	0	0
12141	12142	毛羽	ピリング	0	0
12164	12165	渦	渦巻き	0	0
12195	12196	ひずみ	ゆがみ	0	0
12198	12199	しわ	しぼ	0	0
12208	12209	ギャザー	プリーツ	0	0
12215	12216	穴	孔	0	0
12220	12221	めど	針の耳／の穴	0	0
12227	12228	節穴	銃眼	0	0
12232	12233	みぞ穴	スロット	0	0
12258	12259	門口	戸口	0	0
12294	12295	こい口	そで口	0	0
12307	12308	亀裂	ひび	0	0
12330	12331	染め模様	色模様	0	0
12366	12367	市松模様	モザイク	0	0
12373	12374	棒じま	格子じま	0	0
12390	12391	かめの甲	ともえ	0	0
12394	12395	渦巻き	鱗形	0	0
12413	12414	木目	木目	0	0
12435	12436	目	布目	0	0
12455	12456	破れ目	破れ目	0	0
12462	12463	束	花束	0	0
12529	12530	歯並み	歯並び	0	0
12539	12540	段	階段	0	0
12553	12554	囲み	吹き出し	0	0
12603	12604	容量	含有量	0	0
12644	12645	栄養価	結合価	0	0
12715	12716	とし	年	0	0
12780	12781	平均値	アベレージ	0	0
12796	12797	水素イオン指数	ｐＨ	0	0
12829	12830	口数	言葉数	0	0
12834	12835	戸数	家数	0	0
12854	12855	周波数	振動数	0	0
12935	12936	分母	公分母	0	0
12959	12960	級数	等差級数	0	0
12963	12964	基数	序数	0	0
12968	12969	無限大	無数	0	0
13010	13011	多事	多難	0	0
13025	13026	多国籍	多国	0	0
13065	13066	一掬	一握り	0	0
13077	13078	巨額	多額	0	0
13093	13094	全部	半分	0	0
13118	13119	尺度	寸法	0	0
13142	13143	肩幅	胸幅	0	0
13182	13183	胸囲	胸回り	0	0
13186	13187	バスト	ウエスト	0	0
13189	13190	刃渡り	根回り	0	0
13214	13215	身長	体長	0	0
13264	13265	間近	目睫の間	0	0
13267	13268	長距離	中距離	0	0
13292	13293	面積	表面積	0	0
13299	13300	建て面積	床面積	0	0
13322	13323	大	膨大	0	0
13372	13373	中速	低速	0	0
13404	13405	進度	進み	0	0
13425	13426	至急	倉卒	0	0
13454	13455	軽重	軽重	0	0
13457	13458	重さ	重み	0	0
13461	13462	軽量	ライト	0	0
13543	13544	明暗	明るさ	0	0
13572	13573	程	ころ合い	0	0
13582	13583	軽度	#NAME?	0	0
13616	13617	うち	内	0	0
13676	13677	極点	両極	0	0
13701	13702	分	二分	0	0
13715	13716	平方根	ルート	0	0
13721	13722	差	等差	0	0
13732	13733	開き	径庭	0	0
13808	13809	確率	プロバビリティー	0	0
13811	13812	蓋然性	確実性	0	0
13846	13847	曲率	屈折率	0	0
13879	13880	#NAME?	行き過ぎ	0	0
13914	13915	余韻	余情	0	0
13971	13972	漏れ	遺漏	0	0
13976	13977	脱落	落ち	0	0
13991	13992	全般	全面	0	0
14005	14006	もろもろ	諸	0	0
14008	14009	すべて	凡百	0	0
14014	14015	一切	一切合切	0	0
14021	14022	総数	総員	0	0
14036	14037	全会	全党	0	0
14053	14054	全線	全員	0	0
14062	14063	百パーセント	全額	0	0
14065	14066	全日	全速力	0	0
14074	14075	満山	満天	0	0
14078	14079	満身	満腔	0	0
14107	14108	大多数	多く	0	0
14175	14176	別別	個別	0	0
14200	14201	基本単位	国際単位	0	0
14210	14211	本位	金本位	0	0
14241	14242	団	集団	0	0
14268	14269	三幅対	三羽烏	0	0
14283	14284	ふたり組み	つがい	0	0
14365	14366	一つ	二つ	0	0
14414	14415	百	一百	0	0
14501	14502	ももち	ちよろず	0	0
14571	14572	おひと方	おふた方	0	0
14619	14620	数日	旬日	0	0
14623	14624	ひとつき	ふたつき	0	0
14640	14641	半年	半年	0	0
14686	14687	睦月	如月	0	0
14738	14739	十干	十干	0	0
14756	14757	子	丑	0	0
14786	14787	Ａ	Ｂ	0	0
14793	14794	ファースト	セカンド	0	0
14835	14836	デシ	センチ	0	0
14870	14871	#NAME?	年	0	0
14904	14905	分間	秒	0	0
14923	14924	町	間	0	0
14941	14942	#NAME?	尋	0	0
14963	14964	町	町歩	0	0
14994	14995	度	分	0	0
15008	15009	貫	斤	0	0
15025	15026	アンペア	クーロン	0	0
15053	15054	ジュール	ニュートン	0	0
15077	15078	回転	周	0	0
15082	15083	点	ポイント	0	0
15085	15086	ストライク	ボール	4508	3072
15119	15120	音	拍	0	0
15219	15220	丁	葉	0	0
15260	15261	幅	幅	0	0
15270	15271	頭	筋	0	0
15285	15286	客	膳	0	0
15325	15326	円	銭	0	0
15337	15338	ポンド	シリング	0	0
15346	15347	リラ	ペソ	0	0
15352	15353	人間	人	0	0
15367	15368	今人	現代人	0	0
15373	15374	古人	先人	0	0
15429	15430	#NAME?	#NAME?	0	0
15474	15475	私	私	0	0
15485	15486	わし	わて	0	0
15512	15513	吾人	不肖	0	0
15524	15525	あなた	あなた方	0	0
15545	15546	そなた	その方	0	0
15596	15597	同人	同氏	0	0
15619	15620	某氏	某君	0	0
15629	15630	もろ人	万人	0	0
15636	15637	自分	自身	0	0
15640	15641	己	自ら	0	0
15650	15651	他人	他家	0	0
15680	15681	ひとりひとり	それぞれ	0	0
15694	15695	神明	天地神明	0	0
15698	15699	氏神	産すな神	0	0
15745	15746	如来	仏陀	0	0
15748	15749	釈迦	釈尊	0	0
15784	15785	鬼子母神	鬼子母神	0	0
15791	15792	明王	不動明王	0	0
15841	15842	仙人	神人	0	0
15914	15915	妖怪	変化	0	0
15942	15943	男子	男の人	0	0
16023	16024	美女	傾国	0	0
16035	16036	しこめ	醜女	0	0
16072	16073	長幼	老幼	0	0
16086	16087	早生児	未熟児	0	0
16140	16141	いい子	かぎっ子	0	0
16143	16144	悪童	神童	0	0
16161	16162	若人	ヤング	0	0
16208	16209	おきな	翁	0	0
16233	16234	古老・故老	古老	0	0
16247	16248	家族	家内	0	0
16285	16286	隠居	若隠居	0	0
16313	16314	皇族	王族	0	0
16316	16317	皇室	王室	0	0
16339	16340	配偶者	連れ合い	0	0
16343	16344	夫	夫	0	0
16350	16351	あるじ	主人	0	0
16353	16354	旦那様	だんつく	0	0
16357	16358	愛妻家	恐妻家	0	0
16369	16370	后妃	妃	0	0
16398	16399	奥方	裏方	0	0
16401	16402	奥様	奥さん	0	0
16452	16453	やもめ	女やもめ	0	0
16459	16460	既婚者	妻帯者	0	0
16463	16464	婿	花婿	0	0
16466	16467	入り婿	婿養子	0	0
16471	16472	嫁御	嫁女	0	0
16499	16500	お父様	お父さん	0	0
16516	16517	おふくろ	おふくろさん	0	0
16533	16534	父君	父君	0	0
16548	16549	考妣	先考	0	0
16566	16567	仮親	名付け親	0	0
16616	16617	遠祖	皇祖	0	0
16642	16643	一男	一女	0	0
16654	16655	ひこ	若様	0	0
16665	16666	まなご	まな娘	0	0
16694	16695	跡継ぎ	跡取り	0	0
16701	16702	嫡子	嫡出子	0	0
16709	16710	次子	次男・二男	0	0
16730	16731	箱入り	箱入り娘	0	0
16744	16745	忘れ形見	遺児	0	0
16779	16780	はらから	兄弟	0	0
16824	16825	舎弟	小弟・少弟	0	0
16841	16842	亡兄	亡姉	0	0
16882	16883	大伯父・大叔父	大伯父	0	0
16896	16897	従姉妹	従姉	0	0
16949	16950	社中	同志	0	0
16955	16956	同友	同気	0	0
16972	16973	同輩	同僚	0	0
17022	17023	幼友達	竹馬の友	0	0
17030	17031	畏友	心友	0	0
17062	17063	見ず知らず	赤の他人	0	0
17116	17117	主婦	奥様	0	0
17166	17167	得意	お得意	0	0
17204	17205	アジア人	東洋人	0	0
17229	17230	ベトナム人	カレン族	0	0
17267	17268	フィン人	マジャール人	0	0
17285	17286	マヤ	インディオ	0	0
17312	17313	江戸っ子	どさんこ	0	0
17320	17321	住民	住人	0	0
17345	17346	落人	落人	0	0
17351	17352	世人	公民	0	0
17357	17358	末末	下下	0	0
17432	17433	国王	先王	0	0
17453	17454	大統領	総統	0	0
17499	17500	武士	武家	0	0
17503	17504	侍	二本差し	0	0
17506	17507	幕臣	直参	0	0
17514	17515	平民	農民	0	0
17533	17534	労働者階級	プロレタリア	0	0
17539	17540	知識階級	知識層	0	0
17570	17571	金持ち	大金持ち	0	0
17581	17582	金満家	大尽	0	0
17590	17591	元老	元勲	0	0
17625	17626	人材	適材	0	0
17640	17641	俊才・駿才	俊才	0	0
17661	17662	傑物	豪傑	0	0
17710	17711	哲人	賢哲	0	0
17750	17751	先達	先覚	0	0
17835	17836	実務家	事務家	0	0
17866	17867	サディスト	サド	0	0
17903	17904	ピューリタン	清教徒	0	0
17918	17919	昼あんどん	甚六	0	0
17922	17923	ばか	ばか野郎	0	0
17928	17929	痴人	痴れ者	0	0
17943	17944	お山の大将	井の中のかわず	0	0
17958	17959	都会人	都人	0	0
17973	17974	奇人	変わり者	0	0
17980	17981	虫	がり勉	0	0
17985	17986	有志	篤志家	0	0
18015	18016	善男善女	好人物	0	0
18027	18028	風見鶏	内また／二また膏薬	0	0
18037	18038	社交家	交際家	0	0
18045	18046	だて者	だて者	0	0
18057	18058	反逆者	裏切り者	0	0
18075	18076	凶漢	凶徒	0	0
18099	18100	悪人	悪者	0	0
18109	18110	殺人鬼	通り魔	0	0
18121	18122	ならず者	無頼漢	0	0
18133	18134	ごろつき	ちんぴら	0	0
18141	18142	蕩児	放蕩者	0	0
18153	18154	持て余し者	娑婆ふさぎ	0	0
18166	18167	助平	鼻下長	0	0
18173	18174	専門家	スペシャリスト	0	0
18179	18180	セミプロフェッショナル	セミプロ	0	0
18195	18196	初心者	初学者	0	0
18220	18221	好事家	好き者	0	0
18223	18224	マニア	お宅	0	0
18279	18280	弁士	論客	0	0
18284	18285	口利き	口上手	0	0
18292	18293	スポーツマン	選手	0	0
18313	18314	ホープ	成長株	0	0
18349	18350	泣き虫	弱虫	0	0
18358	18359	癇癪持ち	怒りん坊	0	0
18363	18364	楽天家	極楽とんぼ	0	0
18417	18418	酒好き	酒飲み	0	0
18423	18424	酒家	酒客	0	0
18427	18428	酔っ払い	酔いどれ	0	0
18447	18448	悪太郎	悪たれ	0	0
18464	18465	握り屋	守銭奴	0	0
18488	18489	旅行家	登山家	0	0
18506	18507	お上りさん	赤ゲット	0	0
18510	18511	巡礼・順礼	巡礼	0	0
18585	18586	死人	死人	0	0
